student_id,name,university,degree,batch_year,cgpa,skills,domain_interest,location,willing_to_relocate,internship_duration_months,expected_stipend_min,expected_stipend_max
1,Student_1,IIT Bombay,MCA,2027,7.67,AWS|Node.js|TypeScript,fintech,Bangalore,False,2,40000,100000
2,Student_2,Symbiosis Pune,B.Tech Computer Science,2026,7.64,Java|Python|SQL,SaaS,Bangalore,True,6,40000,100000
3,Student_3,BITS Pilani,B.Tech Electronics and Telecommunication,2027,7.14,Git|MongoDB|Python|SQL,media,Hyderabad,False,3,40000,100000
4,Student_4,NIT Trichy,B.Tech Information Technology,2027,6.89,Git|Javascript|TypeScript,fintech,Remote,False,2,30000,70000
5,Student_5,DTU Delhi,B.Tech Information Technology,2027,7.28,Javascript|Node.js,infra,Pune,True,6,40000,100000
6,Student_6,Amity University,B.Tech Information Technology,2027,8.44,FastAPI|Machine Learning|React|SQL,fintech,Delhi,True,3,50000,150000
7,Student_7,COEP Pune,B.Tech Artificial Intelligence,2029,9.56,Docker|FastAPI|Java|Node.js|React,healthcare,Bangalore,False,3,60000,200000
8,Student_8,COEP Pune,B.Tech Information Technology,2027,7.64,Javascript|Machine Learning|Python|SQL,SaaS,Pune,True,6,40000,100000
9,Student_9,Manipal Institute of Technology,B.Tech Computer Science,2027,7.73,Javascript|Python|SQL,healthcare,Pune,True,3,40000,100000
10,Student_10,Symbiosis Pune,B.Tech Artificial Intelligence,2027,7.27,Docker|TypeScript,healthcare,Bangalore,False,3,40000,100000
11,Student_11,DTU Delhi,MCA,2026,8.77,Java|PostgreSQL|React,ecommerce,Bangalore,False,6,50000,150000
12,Student_12,IIT Delhi,MCA,2027,6.94,FastAPI|Java|Machine Learning,infra,Remote,True,2,30000,70000
13,Student_13,NIT Suratkal,B.Tech Data Science,2027,8.13,C++|PostgreSQL|Python|REST APIs|React,SaaS,Delhi,False,6,50000,150000
14,Student_14,IIT Bombay,MCA,2027,7.4,Data Science|Machine Learning,ecommerce,Pune,False,2,40000,100000
15,Student_15,SRM University,B.Tech Electronics and Telecommunication,2026,7.66,Docker|Git|Javascript|TypeScript,SaaS,Remote,True,6,40000,100000
16,Student_16,SRM University,B.Tech Electronics and Telecommunication,2027,8.31,Java|REST APIs|SQL,SaaS,Bangalore,True,6,50000,150000
17,Student_17,IIT Madras,M.Tech Computer Science,2029,7.72,Django|Javascript|Python|React,fintech,Bangalore,True,6,40000,100000
18,Student_18,DTU Delhi,B.Tech Electronics and Telecommunication,2027,7.96,C++|Git,healthcare,Remote,False,6,40000,100000
19,Student_19,SRM University,B.E. Computer Engineering,2028,8.36,Machine Learning|Node.js|React,media,kolkata,False,3,50000,150000
20,Student_20,DTU Delhi,BCA,2029,8.75,Flutter|Git|Java|Python,fintech,Mumbai,True,2,50000,150000
21,Student_21,Amity University,B.Tech Computer Science,2028,7.97,Docker|Javascript|Python,healthcare,Bangalore,True,2,40000,100000
22,Student_22,IIIT Bangalore,BCA,2029,7.87,Git|MongoDB,healthcare,Delhi,True,6,40000,100000
23,Student_23,IIT Madras,B.Tech Information Technology,2027,8.88,Docker|Java|MongoDB|Node.js|Python,fintech,Hyderabad,False,3,50000,150000
24,Student_24,BITS Pilani,B.Tech Information Technology,2027,7.34,Git|Node.js|Python|React|SQL,fintech,Chennai,False,6,40000,100000
25,Student_25,IIT Delhi,B.Tech Data Science,2027,6.85,MongoDB|REST APIs|SQL,healthcare,Delhi,False,3,30000,70000
26,Student_26,Manipal Institute of Technology,MCA,2027,9.32,Java|Spring Boot,fintech,Mumbai,True,6,60000,200000
27,Student_27,VIT Vellore,BCA,2029,9.51,AWS|Data Science|MongoDB,healthcare,Bangalore,False,2,60000,200000
28,Student_28,IIIT Bangalore,BCA,2027,7.79,Docker|Machine Learning,ecommerce,Remote,False,6,40000,100000
29,Student_29,IIIT Bangalore,B.E. Computer Engineering,2028,10.0,FastAPI|Java|Machine Learning|MongoDB|Python,fintech,Bangalore,True,6,60000,200000
30,Student_30,DTU Delhi,MCA,2027,7.02,Machine Learning|React,healthcare,Delhi,True,6,40000,100000
31,Student_31,VJTI Mumbai,M.Tech Computer Science,2028,8.31,C++|Django|REST APIs,healthcare,Mumbai,True,6,50000,150000
32,Student_32,IIT Madras,B.Tech Artificial Intelligence,2026,8.08,AWS|Javascript|Python|React,healthcare,kolkata,False,3,50000,150000
33,Student_33,Symbiosis Pune,M.Tech Computer Science,2027,8.68,Javascript|REST APIs,fintech,Bangalore,True,6,50000,150000
34,Student_34,NIT Trichy,B.Tech Information Technology,2027,8.75,Git|Javascript|REST APIs|SQL,healthcare,Bangalore,False,3,50000,150000
35,Student_35,DTU Delhi,B.Sc. Computer Science,2028,8.73,Git|Machine Learning,media,Pune,True,2,50000,150000
36,Student_36,IIT Delhi,B.Sc. Computer Science,2027,9.23,REST APIs|React,ecommerce,Pune,True,6,60000,200000
37,Student_37,VJTI Mumbai,B.Tech Computer Science,2029,7.04,FastAPI|Git|Java|Javascript|Python,fintech,Bangalore,False,3,40000,100000
38,Student_38,COEP Pune,B.Sc. Computer Science,2026,8.95,Django|Java|Javascript|Machine Learning,healthcare,Hyderabad,False,6,50000,150000
39,Student_39,Manipal Institute of Technology,B.Tech Artificial Intelligence,2026,7.48,Node.js|React|TypeScript,SaaS,Delhi,True,3,40000,100000
40,Student_40,VJTI Mumbai,B.Tech Computer Science,2026,6.69,Machine Learning|MongoDB|Node.js|TypeScript,ecommerce,Mumbai,True,6,30000,70000
41,Student_41,Amity University,B.Tech Electronics and Telecommunication,2028,7.8,C++|Machine Learning|Python|React|TypeScript,healthcare,Remote,True,2,40000,100000
42,Student_42,VJTI Mumbai,B.Tech Artificial Intelligence,2029,8.22,Machine Learning|SQL,infra,Bangalore,True,3,50000,150000
43,Student_43,IIT Madras,B.E. Computer Engineering,2027,8.56,Python|React,infra,Chennai,False,3,50000,150000
44,Student_44,COEP Pune,B.E. Computer Engineering,2028,8.98,C++|Java|REST APIs,infra,Bangalore,False,3,50000,150000
45,Student_45,Manipal Institute of Technology,MCA,2027,9.35,AWS|C++|Flutter|PostgreSQL|Spring Boot,ecommerce,Pune,True,2,60000,200000
46,Student_46,IIIT Bangalore,B.Tech Computer Science,2029,6.03,C++|MongoDB|Node.js|SQL,fintech,Bangalore,False,3,30000,70000
47,Student_47,Symbiosis Pune,B.E. Computer Engineering,2028,7.7,Machine Learning|SQL,ecommerce,Mumbai,True,6,40000,100000
48,Student_48,IIT Bombay,B.Tech Artificial Intelligence,2027,7.03,Git|Java|React,SaaS,Mumbai,False,6,40000,100000
49,Student_49,NIT Trichy,B.Tech Data Science,2027,8.63,Javascript|PostgreSQL|Python|SQL,media,Pune,False,6,50000,150000
50,Student_50,NIT Suratkal,B.Tech Electronics and Telecommunication,2026,6.63,Docker|Javascript|Machine Learning|Python|SQL,SaaS,Pune,False,3,30000,70000
